epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,261,cross_2,47.8,-0.423,121.96,35.045,46.77,Normal
1,261,cross_3,50.21,-0.164,96.67,36.245,46.26,Normal
1,261,cross_4,50.31,0.089,85.62,36.274,45.98,Normal
1,261,cross_5,50.24,0.084,105.24,36.038,45.95,Normal
1,264,cross_0,46.76,-0.059,141.51,32.292,45.09,Normal
1,264,cross_1,50.18,-0.03,151.53,36.211,45.72,Normal
1,264,cross_2,47.53,-0.744,125.44,35.089,48.0,Normal
1,264,cross_3,50.33,0.328,99.68,36.245,46.94,Normal
1,264,cross_4,50.29,-0.06,86.38,36.273,45.86,Normal
1,264,cross_5,50.3,0.162,103.41,36.141,46.27,Normal
1,267,cross_0,46.72,-0.101,145.16,32.66,45.25,Normal
1,267,cross_1,50.14,-0.115,155.53,36.248,46.05,Normal
1,267,cross_2,47.6,0.184,128.96,35.127,45.77,Normal
1,267,cross_3,50.39,0.181,102.78,36.246,46.37,Normal
1,267,cross_4,50.34,0.141,87.35,36.272,46.2,Normal
1,267,cross_5,50.3,0.012,101.71,36.206,45.67,Normal
1,270,cross_0,46.68,-0.106,148.82,32.964,45.27,Normal
1,270,cross_1,50.27,0.349,159.55,36.262,47.01,Normal
1,270,cross_2,47.49,-0.291,132.51,35.152,46.18,Normal
1,270,cross_3,50.37,-0.068,105.97,36.246,45.91,Normal
1,270,cross_4,50.28,-0.153,88.52,36.271,46.23,Normal
1,270,cross_5,50.16,-0.38,100.18,36.24,47.11,Normal
1,273,cross_0,46.87,0.522,153.03,33.209,46.97,Normal
1,273,cross_1,50.39,0.35,164.07,36.264,47.04,Normal
1,273,cross_2,47.58,0.246,136.67,35.162,46.01,Normal
1,273,cross_3,50.23,-0.386,109.94,36.246,47.15,Normal
1,273,cross_4,50.3,0.055,90.76,36.27,45.84,Normal
1,273,cross_5,50.15,-0.048,99.59,36.253,45.78,Normal
1,276,cross_0,46.91,0.116,157.25,33.399,45.36,Normal
1,276,cross_1,50.35,-0.131,168.58,36.264,46.16,Normal
